segment_id,start_time,end_time,duration
3159,2022-01-20 17:02:06.910123,2022-01-20 17:27:06.877502,0 days 00:24:59.967379
3161,2022-01-20 17:36:06.804164,2022-01-20 17:54:06.983843,0 days 00:18:00.179679
3165,2022-01-20 18:18:06.900183,2022-01-20 18:38:06.533252,0 days 00:19:59.633069
3185,2022-01-20 19:51:06.773614,2022-01-21 05:44:05.466376,0 days 09:52:58.692762
3310,2022-01-21 10:18:06.847740,2022-01-21 10:44:07.412596,0 days 00:26:00.564856
3313,2022-01-21 10:49:06.686624,2022-01-21 11:22:06.740659,0 days 00:33:00.054035
3319,2022-01-21 11:41:06.655365,2022-01-21 11:56:07.217672,0 days 00:15:00.562307
3385,2022-01-21 15:22:06.635850,2022-01-21 15:50:06.856641,0 days 00:28:00.220791
3498,2022-01-21 20:14:06.707969,2022-01-22 05:44:05.399070,0 days 09:29:58.691101
3887,2022-01-22 17:15:05.995919,2022-01-24 05:13:06.179583,1 days 11:58:00.183664
3890,2022-01-24 05:20:06.089436,2022-01-24 05:39:06.092435,0 days 00:19:00.002999
4498,2022-01-24 20:15:07.159204,2022-01-25 05:10:06.105946,0 days 08:54:58.946742
4499,2022-01-25 05:10:06.107204,2022-01-25 05:44:06.301784,0 days 00:34:00.194580
4614,2022-01-25 07:54:06.740426,2022-01-25 08:16:07.530492,0 days 00:22:00.790066
4652,2022-01-25 10:30:06.828620,2022-01-25 10:46:07.252204,0 days 00:16:00.423584
4653,2022-01-25 10:46:07.253382,2022-01-25 12:47:07.305977,0 days 02:01:00.052595
4654,2022-01-25 12:48:06.908315,2022-01-25 13:06:07.022703,0 days 00:18:00.114388
4657,2022-01-25 13:21:07.312265,2022-01-25 13:46:06.668962,0 days 00:24:59.356697
4662,2022-01-25 13:58:07.145589,2022-01-25 14:55:07.217783,0 days 00:57:00.072194
4664,2022-01-25 15:03:07.105051,2022-01-25 15:23:06.887201,0 days 00:19:59.782150
4683,2022-01-25 17:02:07.151586,2022-01-25 17:20:06.910264,0 days 00:17:59.758678
4708,2022-01-25 19:51:06.992495,2022-01-25 20:14:07.032055,0 days 00:23:00.039560
4709,2022-01-25 20:14:07.033223,2022-01-26 05:44:06.250416,0 days 09:29:59.217193
4927,2022-01-26 13:52:06.036613,2022-01-26 14:30:06.572155,0 days 00:38:00.535542
4933,2022-01-26 14:45:07.273501,2022-01-26 15:14:06.667827,0 days 00:28:59.394326
5119,2022-01-26 20:00:06.019918,2022-01-27 05:44:06.253329,0 days 09:44:00.233411
5241,2022-01-27 09:15:06.654752,2022-01-27 09:59:07.509422,0 days 00:44:00.854670
5249,2022-01-27 10:23:06.902928,2022-01-27 10:44:06.929889,0 days 00:21:00.026961
5253,2022-01-27 11:00:06.589466,2022-01-27 12:02:06.699499,0 days 01:02:00.110033
5255,2022-01-27 12:03:07.367307,2022-01-27 12:30:06.843486,0 days 00:26:59.476179
5257,2022-01-27 12:31:07.664112,2022-01-27 12:48:06.686342,0 days 00:16:59.022230
5261,2022-01-27 13:00:06.604777,2022-01-27 13:15:07.152915,0 days 00:15:00.548138
5263,2022-01-27 13:16:06.830872,2022-01-27 13:48:07.718065,0 days 00:32:00.887193
5267,2022-01-27 14:00:06.622183,2022-01-27 14:17:06.719392,0 days 00:17:00.097209
5273,2022-01-27 14:30:07.171499,2022-01-27 14:45:07.436946,0 days 00:15:00.265447
5372,2022-01-27 20:03:07.391026,2022-01-28 05:44:05.909483,0 days 09:40:58.518457
5512,2022-01-28 09:58:06.626822,2022-01-28 10:14:06.794505,0 days 00:16:00.167683
5514,2022-01-28 10:15:07.505413,2022-01-28 10:44:06.709799,0 days 00:28:59.204386
5516,2022-01-28 10:45:07.529176,2022-01-28 11:16:06.725592,0 days 00:30:59.196416
5526,2022-01-28 11:45:06.093524,2022-01-28 12:03:07.590495,0 days 00:18:01.496971
5541,2022-01-28 12:36:06.763311,2022-01-28 12:59:07.399286,0 days 00:23:00.635975
5552,2022-01-28 13:38:06.792267,2022-01-28 14:17:07.013128,0 days 00:39:00.220861
5556,2022-01-28 14:30:07.461844,2022-01-28 15:04:06.876689,0 days 00:33:59.414845
5560,2022-01-28 15:16:07.517863,2022-01-28 15:44:07.337525,0 days 00:27:59.819662
5634,2022-01-28 19:06:07.021319,2022-01-28 19:22:07.153587,0 days 00:16:00.132268
5646,2022-01-28 19:59:06.789414,2022-01-29 05:46:05.557223,0 days 09:46:58.767809
5670,2022-01-29 07:04:06.559855,2022-01-29 07:30:07.181379,0 days 00:26:00.621524
5699,2022-01-29 08:53:06.915759,2022-01-29 10:19:07.630762,0 days 01:26:00.715003
5705,2022-01-29 10:46:07.321746,2022-01-29 11:04:06.841016,0 days 00:17:59.519270
5707,2022-01-29 11:05:07.684029,2022-01-29 11:26:06.990527,0 days 00:20:59.306498
5748,2022-01-29 13:16:07.426670,2022-01-29 13:37:07.154280,0 days 00:20:59.727610
5755,2022-01-29 14:01:07.055023,2022-01-29 15:15:06.960267,0 days 01:13:59.905244
5756,2022-01-29 15:15:06.961678,2022-01-29 15:31:07.142952,0 days 00:16:00.181274
5757,2022-01-29 15:31:07.144291,2022-01-29 15:53:07.133261,0 days 00:21:59.988970
5758,2022-01-29 15:53:07.134404,2022-01-31 05:45:05.943995,1 days 13:51:58.809591
5865,2022-01-31 10:16:07.421915,2022-01-31 10:32:07.259677,0 days 00:15:59.837762
5867,2022-01-31 10:33:06.735456,2022-01-31 10:49:06.585442,0 days 00:15:59.849986
5882,2022-01-31 11:37:07.333855,2022-01-31 12:17:07.179863,0 days 00:39:59.846008
6061,2022-01-31 19:49:06.347189,2022-01-31 20:14:06.725532,0 days 00:25:00.378343
6062,2022-01-31 20:14:06.726744,2022-02-01 05:44:06.242130,0 days 09:29:59.515386
6190,2022-02-01 11:00:07.428304,2022-02-01 12:04:06.907340,0 days 01:03:59.479036
6196,2022-02-01 12:31:06.829760,2022-02-01 13:29:06.594373,0 days 00:57:59.764613
6200,2022-02-01 13:33:06.699034,2022-02-01 13:49:06.767269,0 days 00:16:00.068235
6218,2022-02-01 15:16:07.297728,2022-02-01 15:39:06.735483,0 days 00:22:59.437755
6288,2022-02-01 20:14:07.611150,2022-02-02 05:44:05.790936,0 days 09:29:58.179786
6410,2022-02-02 10:35:06.985902,2022-02-02 10:59:07.394412,0 days 00:24:00.408510
6412,2022-02-02 11:00:06.914721,2022-02-02 11:17:06.647993,0 days 00:16:59.733272
6420,2022-02-02 12:01:06.884636,2022-02-02 12:19:07.287557,0 days 00:18:00.402921
6427,2022-02-02 12:59:06.903560,2022-02-02 14:50:07.196757,0 days 01:51:00.293197
6442,2022-02-02 15:37:06.885304,2022-02-02 16:05:07.426468,0 days 00:28:00.541164
6446,2022-02-02 16:16:07.044229,2022-02-02 16:49:07.008143,0 days 00:32:59.963914
6503,2022-02-02 19:45:06.521276,2022-02-02 20:14:07.102110,0 days 00:29:00.580834
6504,2022-02-02 20:14:07.103300,2022-02-03 05:44:05.869332,0 days 09:29:58.766032
6559,2022-02-03 08:23:06.693646,2022-02-03 08:44:07.368261,0 days 00:21:00.674615
6561,2022-02-03 08:51:07.441123,2022-02-03 11:16:06.857099,0 days 02:24:59.415976
6563,2022-02-03 11:18:07.286953,2022-02-03 12:10:07.466446,0 days 00:52:00.179493
6565,2022-02-03 12:17:07.429100,2022-02-03 12:37:07.248933,0 days 00:19:59.819833
6581,2022-02-03 13:55:07.025148,2022-02-03 15:30:05.956816,0 days 01:34:58.931668
6585,2022-02-03 15:46:07.343074,2022-02-03 16:32:07.244305,0 days 00:45:59.901231
6587,2022-02-03 16:34:06.414825,2022-02-03 17:32:07.019586,0 days 00:58:00.604761
6591,2022-02-03 17:49:07.339420,2022-02-03 18:16:07.244028,0 days 00:26:59.904608
6593,2022-02-03 18:19:07.308860,2022-02-03 18:44:07.406096,0 days 00:25:00.097236
6608,2022-02-03 20:14:07.274573,2022-02-04 05:44:06.298659,0 days 09:29:59.024086
6723,2022-02-04 09:09:06.893799,2022-02-04 12:29:07.286028,0 days 03:20:00.392229
6735,2022-02-04 13:10:06.759772,2022-02-04 13:59:07.537621,0 days 00:49:00.777849
6743,2022-02-04 14:33:07.314442,2022-02-04 15:45:07.339782,0 days 01:12:00.025340
6745,2022-02-04 15:47:06.855026,2022-02-04 16:03:06.872599,0 days 00:16:00.017573
6824,2022-02-04 19:43:07.038358,2022-02-04 19:59:06.662389,0 days 00:15:59.624031
6828,2022-02-04 20:01:07.037059,2022-02-05 05:45:06.274374,0 days 09:43:59.237315
6841,2022-02-05 06:27:07.077375,2022-02-05 06:44:07.130200,0 days 00:17:00.052825
6878,2022-02-05 07:51:07.141298,2022-02-05 08:08:06.748265,0 days 00:16:59.606967
6882,2022-02-05 08:21:07.645497,2022-02-05 08:44:07.111722,0 days 00:22:59.466225
6884,2022-02-05 08:48:07.534323,2022-02-05 12:05:06.990684,0 days 03:16:59.456361
6904,2022-02-05 13:44:06.994705,2022-02-05 14:04:06.577327,0 days 00:19:59.582622
6914,2022-02-05 14:35:07.192296,2022-02-07 05:46:06.884396,1 days 15:10:59.692100
7048,2022-02-07 11:11:07.449176,2022-02-07 12:22:06.917543,0 days 01:10:59.468367
7053,2022-02-07 12:49:06.682614,2022-02-07 13:29:07.485544,0 days 00:40:00.802930
7060,2022-02-07 13:51:07.430041,2022-02-07 15:03:07.107858,0 days 01:11:59.677817
7062,2022-02-07 15:08:07.085482,2022-02-07 15:29:06.723720,0 days 00:20:59.638238
7145,2022-02-07 20:14:07.242122,2022-02-08 05:46:05.706269,0 days 09:31:58.464147
7222,2022-02-08 08:43:07.052074,2022-02-08 08:59:07.085137,0 days 00:16:00.033063
7224,2022-02-08 09:05:06.978781,2022-02-08 09:39:06.759889,0 days 00:33:59.781108
7226,2022-02-08 09:46:06.711393,2022-02-08 10:14:06.744496,0 days 00:28:00.033103
7228,2022-02-08 10:21:06.534981,2022-02-08 10:47:07.387150,0 days 00:26:00.852169
7238,2022-02-08 11:21:07.258179,2022-02-08 11:37:06.771389,0 days 00:15:59.513210
7249,2022-02-08 12:29:07.392832,2022-02-08 12:45:06.696849,0 days 00:15:59.304017
7255,2022-02-08 13:14:06.992591,2022-02-08 13:36:07.181339,0 days 00:22:00.188748
7257,2022-02-08 13:44:06.593376,2022-02-08 14:47:07.570168,0 days 01:03:00.976792
7259,2022-02-08 14:53:06.810742,2022-02-08 15:18:06.690451,0 days 00:24:59.879709
7264,2022-02-08 15:36:06.938370,2022-02-08 15:54:06.796777,0 days 00:17:59.858407
7292,2022-02-08 17:26:06.881254,2022-02-08 17:43:07.326163,0 days 00:17:00.444909
