zone_id,timestamp,name,measurement_group_id,zone_orientation,zone_description,zone_active,floor_id
251,2018-07-24 13:18:20.700639,C03-14,7,180,"",true,5
252,2018-07-24 13:18:20.700639,C03-14-1,7,180,"",true,5
166,2018-03-20 17:29:18.369990,C09-14,20,0,"",true,11
235,2018-06-05 07:45:50.356977,C00-02-4,2,0,"",true,2
236,2018-06-05 07:45:50.356977,C00-02-3,2,0,"",true,2
237,2018-06-05 07:45:50.356977,C00-02-2,2,0,"",true,2
238,2018-06-05 07:45:50.356977,C00-02-1,2,0,"",true,2
239,2018-06-05 07:45:50.356977,C00-03,2,0,"",true,2
240,2018-06-05 07:45:50.356977,C00-04,2,0,"",true,2
241,2018-06-05 07:45:50.356977,C00-05,2,0,"",true,2
242,2018-06-05 07:45:50.356977,C00-06,2,0,"",true,2
243,2018-06-05 07:45:50.356977,C00-07,2,0,"",true,2
244,2018-06-05 07:45:50.356977,C00-08,2,0,"",true,2
2,2018-03-20 17:29:18.369990,C01-02,4,0,"",true,3
3,2018-03-20 17:29:18.369990,C01-03,4,0,"",true,3
4,2018-03-20 17:29:18.369990,C01-04,4,0,"",true,3
5,2018-03-20 17:29:18.369990,C01-05,4,0,"",true,3
6,2018-03-20 17:29:18.369990,C01-06,4,0,"",true,3
7,2018-03-20 17:29:18.369990,C01-07,4,0,"",true,3
8,2018-03-20 17:29:18.369990,C01-07-1,4,0,"",true,3
9,2018-03-20 17:29:18.369990,C01-08,4,0,"",true,3
10,2018-03-20 17:29:18.369990,C01-09,4,0,"",true,3
11,2018-03-20 17:29:18.369990,C01-10,4,0,"",true,3
19,2018-03-20 17:29:18.369990,C02-02,6,0,"",true,4
20,2018-03-20 17:29:18.369990,C02-02-1,6,0,"",true,4
21,2018-03-20 17:29:18.369990,C02-02-2,6,0,"",true,4
22,2018-03-20 17:29:18.369990,C02-04,6,0,"",true,4
23,2018-03-20 17:29:18.369990,C02-05,6,0,"",true,4
24,2018-03-20 17:29:18.369990,C02-06,6,0,"",true,4
25,2018-03-20 17:29:18.369990,C02-07,6,0,"",true,4
26,2018-03-20 17:29:18.369990,C02-08,6,0,"",true,4
27,2018-03-20 17:29:18.369990,C02-09,6,0,"",true,4
28,2018-03-20 17:29:18.369990,C02-10,6,0,"",true,4
29,2018-03-20 17:29:18.369990,C02-11,6,0,"",true,4
30,2018-03-20 17:29:18.369990,C02-12,6,0,"",true,4
40,2018-03-20 17:29:18.369990,C03-02,8,0,"",true,5
41,2018-03-20 17:29:18.369990,C03-03,8,0,"",true,5
42,2018-03-20 17:29:18.369990,C03-04,8,0,"",true,5
43,2018-03-20 17:29:18.369990,C03-05,8,0,"",true,5
44,2018-03-20 17:29:18.369990,C03-06,8,0,"",true,5
15,2018-03-20 17:29:18.369990,C01-13,3,180,"",true,3
102,2018-03-20 17:29:18.369990,C06-11,14,0,"",true,8
45,2018-03-20 17:29:18.369990,C03-07,8,0,"",true,5
46,2018-03-20 17:29:18.369990,C03-08,8,0,"",true,5
47,2018-03-20 17:29:18.369990,C03-09,8,0,"",true,5
48,2018-03-20 17:29:18.369990,C03-10,8,0,"",true,5
49,2018-03-20 17:29:18.369990,C03-11,8,0,"",true,5
58,2018-03-20 17:29:18.369990,C04-03,10,0,"",true,6
59,2018-03-20 17:29:18.369990,C04-04,10,0,"",true,6
60,2018-03-20 17:29:18.369990,C04-05,10,0,"",true,6
61,2018-03-20 17:29:18.369990,C04-06,10,0,"",true,6
62,2018-03-20 17:29:18.369990,C04-07,10,0,"",true,6
63,2018-03-20 17:29:18.369990,C04-07-1,10,0,"",true,6
64,2018-03-20 17:29:18.369990,C04-08,10,0,"",true,6
65,2018-03-20 17:29:18.369990,C04-09,10,0,"",true,6
66,2018-03-20 17:29:18.369990,C04-10,10,0,"",true,6
67,2018-03-20 17:29:18.369990,C04-11,10,0,"",true,6
68,2018-03-20 17:29:18.369990,C04-12,10,0,"",true,6
69,2018-03-20 17:29:18.369990,C04-13,10,0,"",true,6
70,2018-03-20 17:29:18.369990,C04-14,10,0,"",true,6
71,2018-03-20 17:29:18.369990,C04-15,10,0,"",true,6
77,2018-03-20 17:29:18.369990,C05-02,12,0,"",true,7
78,2018-03-20 17:29:18.369990,C05-03,12,0,"",true,7
79,2018-03-20 17:29:18.369990,C05-04,12,0,"",true,7
80,2018-03-20 17:29:18.369990,C05-05,12,0,"",true,7
81,2018-03-20 17:29:18.369990,C05-06,12,0,"",true,7
82,2018-03-20 17:29:18.369990,C05-07,12,0,"",true,7
83,2018-03-20 17:29:18.369990,C05-08,12,0,"",true,7
84,2018-03-20 17:29:18.369990,C05-09,12,0,"",true,7
85,2018-03-20 17:29:18.369990,C05-10,12,0,"",true,7
86,2018-03-20 17:29:18.369990,C05-11,12,0,"",true,7
87,2018-03-20 17:29:18.369990,C05-12,12,0,"",true,7
94,2018-03-20 17:29:18.369990,C06-03,14,0,"",true,8
95,2018-03-20 17:29:18.369990,C06-04,14,0,"",true,8
96,2018-03-20 17:29:18.369990,C06-05,14,0,"",true,8
97,2018-03-20 17:29:18.369990,C06-06,14,0,"",true,8
98,2018-03-20 17:29:18.369990,C06-07,14,0,"",true,8
99,2018-03-20 17:29:18.369990,C06-08,14,0,"",true,8
100,2018-03-20 17:29:18.369990,C06-09,14,0,"",true,8
101,2018-03-20 17:29:18.369990,C06-10,14,0,"",true,8
103,2018-03-20 17:29:18.369990,C06-12,14,0,"",true,8
104,2018-03-20 17:29:18.369990,C06-13,14,0,"",true,8
105,2018-03-20 17:29:18.369990,C06-14,14,0,"",true,8
114,2018-03-20 17:29:18.369990,C07-02,16,0,"",true,9
115,2018-03-20 17:29:18.369990,C07-03-1,16,0,"",true,9
116,2018-03-20 17:29:18.369990,C07-03-2,16,0,"",true,9
117,2018-03-20 17:29:18.369990,C07-04,16,0,"",true,9
118,2018-03-20 17:29:18.369990,C07-05,16,0,"",true,9
119,2018-03-20 17:29:18.369990,C07-06,16,0,"",true,9
120,2018-03-20 17:29:18.369990,C07-07,16,0,"",true,9
121,2018-03-20 17:29:18.369990,C07-08,16,0,"",true,9
122,2018-03-20 17:29:18.369990,C07-09,16,0,"",true,9
123,2018-03-20 17:29:18.369990,C07-10,16,0,"",true,9
124,2018-03-20 17:29:18.369990,C07-11,16,0,"",true,9
125,2018-03-20 17:29:18.369990,C07-12,16,0,"",true,9
126,2018-03-20 17:29:18.369990,C07-13,16,0,"",true,9
136,2018-03-20 17:29:18.369990,C08-05,18,0,"",true,10
137,2018-03-20 17:29:18.369990,C08-06,18,0,"",true,10
138,2018-03-20 17:29:18.369990,C08-07,18,0,"",true,10
139,2018-03-20 17:29:18.369990,C08-08,18,0,"",true,10
140,2018-03-20 17:29:18.369990,C08-09,18,0,"",true,10
141,2018-03-20 17:29:18.369990,C08-10,18,0,"",true,10
142,2018-03-20 17:29:18.369990,C08-11,18,0,"",true,10
143,2018-03-20 17:29:18.369990,C08-12,18,0,"",true,10
144,2018-03-20 17:29:18.369990,C08-13,18,0,"",true,10
145,2018-03-20 17:29:18.369990,C08-14,18,0,"",true,10
146,2018-03-20 17:29:18.369990,C08-15,18,0,"",true,10
147,2018-03-20 17:29:18.369990,C08-16,18,0,"",true,10
148,2018-03-20 17:29:18.369990,C08-17,18,0,"",true,10
